inline-comment-id,# Comment,Question,Main Question,Final Label
84326dd1_566c7146,1,"is this what they intended? don't they really want $(TARGET_OUT_DATA_NATIVE_TEST)?
",is this what they intended?,request for confirmation
84326dd1_566c7146,2,"is this what they intended? don't they really want $(TARGET_OUT_DATA_NATIVE_TEST)?
",don't they really want $(TARGET_OUT_DATA_NATIVE_TEST)?,surprise
99d1f8e4_92b31cea,3,"Don't we need to increment 'i' in the else case here to avoid an infinite loop?
",Don't we need to increment 'i' in the else case here to avoid an infinite loop?,suggestion
193d089f_f5fac752,4,"i can't see anywhere where this is set to false. should we just adjust the single reference in bionic and then remove this?
",should we just adjust the single reference in bionic and then remove this?,suggestion
50c2f81e_ac4fd6fc,5,"are you sure you want to include this source file directly ? Why not create a static library ?
",are you sure you want to include this source file directly ?,criticism
50c2f81e_ac4fd6fc,6,"are you sure you want to include this source file directly ? Why not create a static library ?
",Why not create a static library ?,suggestion
106fa0ad_13adacaa,7,"wangying: ADDRESS_SANITIZER_RUNTIME_LIBRARY comes from build/core/clang/config.mk. Is this an okay way to do that? Is this going to have problems with multilib?
",Is this an okay way to do that?,request for confirmation
106fa0ad_13adacaa,8,"wangying: ADDRESS_SANITIZER_RUNTIME_LIBRARY comes from build/core/clang/config.mk. Is this an okay way to do that? Is this going to have problems with multilib?
",Is this going to have problems with multilib?,hypothetical scenario
1a6dff43_0646dc80,9,"Please add parentheses around this.

Also, can you add a comment similar to what is in WMS.addAttachedWindowToListLocked() about adding below for negative sub-layers vs. above for positive sub-layers?
","Also, can you add a comment similar to what is in WMS.addAttachedWindowToListLocked() about adding below for negative sub-layers vs. above for positive sub-layers?",request for action
1fcb3196_598a0379,10,"Here's this pattern again.

It makes me worried that InstallerData.get() apparently has this sensitive contextual information we need to know about before calling get() but it's not documented anywhere. I feel like either I want to call get() and use it, or it doesn't exist and I don't. Now, I'm nervous I can call it and it returns something but I really shouldn't be using it and just don't know it.

Is there a use-case I'm missing? Perhaps there are times where I can call InstallerData.get() when I'm not in install handoff mode?
",Is there a use-case I'm missing?,request for clarification
1fcb3196_598a0379,11,"Here's this pattern again.

It makes me worried that InstallerData.get() apparently has this sensitive contextual information we need to know about before calling get() but it's not documented anywhere. I feel like either I want to call get() and use it, or it doesn't exist and I don't. Now, I'm nervous I can call it and it returns something but I really shouldn't be using it and just don't know it.

Is there a use-case I'm missing? Perhaps there are times where I can call InstallerData.get() when I'm not in install handoff mode?
",Perhaps there are times where I can call InstallerData.get() when I'm not in install handoff mode?,hypothetical scenario
a185ac8b_46da06a5,12,"Does you IDE check for/warn about trailing whitespace? :)
",Does you IDE check for/warn about trailing whitespace?,request for information
8b58c71b_6fcd3170,13,"it might result in extra colon after program name. does glibc output colon space between program_name and file:line?
",does glibc output colon space between program_name and file:line?,request for information
bca1610e_8ef99b9c,14,"Same comment as in the two identical sentences above. In fact, I'm thinking we should call this out as a Note and then refer to it from each entry instead. What do you think? Thanks.
",What do you think?,request for opinion
63258a42_59a0e39e,15,"Should this be checked at the point where track->timescale is actually set or used? Or verifyTrack() called in more places?
Even with this change, there's the potential for division by zero: at line 1175 above, timescale is read from the file, and at line 1202 it is used in a way that could cause a divide by zero.
",Should this be checked at the point where track->timescale is actually set or used?,suggestion
63258a42_59a0e39e,16,"Should this be checked at the point where track->timescale is actually set or used? Or verifyTrack() called in more places?
Even with this change, there's the potential for division by zero: at line 1175 above, timescale is read from the file, and at line 1202 it is used in a way that could cause a divide by zero.
", Or verifyTrack() called in more places?,request for clarification
636d8ab3_2847852e,17,"Android test is preferred over Unit test? true
Should Android test replace Unit test? true
I don't see a problem with that.
(I cannot find an example where this would be a problem. Michal?)
",Android test is preferred over Unit test?,request for confirmation
636d8ab3_2847852e,18,"Android test is preferred over Unit test? true
Should Android test replace Unit test? true
I don't see a problem with that.
(I cannot find an example where this would be a problem. Michal?)
","
Should Android test replace Unit test?",rhetorical question
0d5f9dfa_b3e6a8b1,19,"const?
",const?,suggestion
ed19690f_6b69496b,20,"Maybe introduce an additional line between `abc' and `def'?
",Maybe introduce an additional line between `abc' and `def'?,suggestion
ad7a16a8_fb57e052,21,"maybe count the offline ones and add ""(offline: %d)"" to the ""No devices detected"" error?
","maybe count the offline ones and add ""(offline: %d)"" to the ""No devices detected"" error?",suggestion
e4750d3f_7f482d81,22,"Shouldn't this goto fail (assuming you add a fd = -1 after the close)? If do_unlink is true, the adb_unlink call from below is not called even though this is a failure case.
",Shouldn't this goto fail (assuming you add a fd = -1 after the close)?,request for confirmation
c4700952_3ebb875f,23,"Don't you want to test that the cursor hasn't moved? i.e. SEEK_CUR?
",Don't you want to test that the cursor hasn't moved?,request for confirmation
c4700952_3ebb875f,24,"Don't you want to test that the cursor hasn't moved? i.e. SEEK_CUR?
",i.e. SEEK_CUR?,suggestion
7689e6a7_df9a5b93,25,"this local is only used once? inline?
",this local is only used once?,request for confirmation
7689e6a7_df9a5b93,26,"this local is only used once? inline?
",inline?,suggestion
b9550e3b_8078dcb1,27,"I think this is saying that it's just an optimization?

Would it then make more sense to say ""Optimize FindInterfaceMethod by searching backwards""?
",I think this is saying that it's just an optimization?,request for confirmation
b9550e3b_8078dcb1,28,"I think this is saying that it's just an optimization?

Would it then make more sense to say ""Optimize FindInterfaceMethod by searching backwards""?
","Would it then make more sense to say ""Optimize FindInterfaceMethod by searching backwards""?",suggestion
bb3987d2_5a23a499,29,"Do we need the conditional? How about assigning is_success directly?

  is_success = dbus_client_->WaitFor...
",Do we need the conditional?,request for confirmation
bb3987d2_5a23a499,30,"Do we need the conditional? How about assigning is_success directly?

  is_success = dbus_client_->WaitFor...
",How about assigning is_success directly?,suggestion
1b3453db_8194feb7,31,"Could most of this code be factored out into a new function in ImageSpace that returns the oat begin/end?
",Could most of this code be factored out into a new function in ImageSpace that returns the oat begin/end?,suggestion
5b25eb9e_abc7e818,32,"From the comment, you are relying on CopyDone to error out if any error occurs here. It would be nice to have a comment somewhere explaining why errors are kind of ignored here.

One question on this particular test:

Is it possible that if the other side has a full disk, that the CopyDone could succeed but the write could be truncated?

Would it be better to still have this return a bool, but return the result of this call && CopyDone to guarantee that if there is a failure, it's marked as a failure?
","One question on this particular test:

Is it possible that if the other side has a full disk, that the CopyDone could succeed but the write could be truncated?",hypothetical scenario
5b25eb9e_abc7e818,33,"From the comment, you are relying on CopyDone to error out if any error occurs here. It would be nice to have a comment somewhere explaining why errors are kind of ignored here.

One question on this particular test:

Is it possible that if the other side has a full disk, that the CopyDone could succeed but the write could be truncated?

Would it be better to still have this return a bool, but return the result of this call && CopyDone to guarantee that if there is a failure, it's marked as a failure?
","Would it be better to still have this return a bool, but return the result of this call && CopyDone to guarantee that if there is a failure, it's marked as a failure?",suggestion
67f216a9_ee937f0d,34,"Add information into initial tag of the request in order to put says 'No' on the backend and add remove on this schedulable ?
",Add information into initial tag of the request in order to put says 'No' on the backend and add remove on this schedulable ?,suggestion
97ebc162_04ddb856,35,"Do we have a minimum python version we support?  I'd like to use this print() function rather than the old print statement, since this also makes it easy to write to files using the same function.  But this is only supported in I think python 2.6+
",Do we have a minimum python version we support?,request for information
889bbb7b_587c357d,36,"Yes, this was run against the emulator.

Would you point me to a an example of one of these test stanzas you're talking about. I've been searching for them but haven't found any examples yet.

Thanks.
",Would you point me to a an example of one of these test stanzas you're talking about.,request for clarification
7c21d2e1_037dfdb6,37,"I'm not sure how you compete for a dependency, the point of reusing compile-java is to avoid reinventing its logic. Is executing 2 recipes in the same shell simultaneously the issue?
",Is executing 2 recipes in the same shell simultaneously the issue?,request for clarification
145fddcc_e94231fa,38,"Thanks. I noticed this after I had pushed the revision. It's been amended in my local copy of the code.

Do you want me to push the change now or should I wait a bit longer to see if there are any other comments?
",Do you want me to push the change now or should I wait a bit longer to see if there are any other comments?,request for confirmation
0815f483_040eb61b,39,"Remove?
",Remove?,suggestion
8e2d6c79_e844b399,40,"Is this always used? If so, should it just get injected earlier?
",Is this always used?,request for confirmation
